datahora;satelite;pais;estado;municipio;bioma;diasemchuva;precipitacao;riscofogo;latitude;longitude;frp
05/05/2012 05:04;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.391.367;-4.722.397;
05/05/2012 05:04;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.391.492;-4.721.848;
05/05/2012 05:04;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.392.554;-4.722.746;
05/05/2012 05:04;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.391.452;-4.722.203;
05/05/2012 05:04;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.390.791;-4.722.345;
05/05/2012 05:04;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.391.895;-4.722.843;
05/05/2012 05:04;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.390.878;-4.722.131;
14/07/2012 04:51;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.391.951;-4.720.772;
14/07/2012 04:51;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.392.728;-4.718.411;
14/07/2012 04:51;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.393.936;-4.718.914;
14/07/2012 04:51;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.392.503;-4.719.135;
14/07/2012 04:51;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.392.409;-4.720.848;
14/07/2012 04:51;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.392.602;-4.719.378;
15/07/2012 04:32;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.437.037;-4.765.435;
14/06/2012 04:13;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-141.312;-4.729.408;
14/06/2012 04:13;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.413.347;-4.730.209;
04/07/2012 04:38;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.436.437;-4.758.964;
04/07/2012 04:38;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.429.713;-4.771.954;
04/07/2012 04:38;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.430.082;-4.771.989;
04/07/2012 04:38;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.429.958;-4.772.864;
21/07/2012 04:20;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.415.569;-4.769.988;
21/07/2012 04:20;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.415.629;-476.962;
24/07/2012 05:04;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.411.424;-4.742.133;
25/07/2012 04:45;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.409.262;-4.739.634;
24/07/2012 05:04;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-143.436;-4.769.389;
24/07/2012 05:04;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.410.771;-4.742.849;
24/07/2012 05:04;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.409.107;-4.742.414;
24/07/2012 05:04;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.409.253;-4.741.136;
24/07/2012 05:04;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.409.303;-4.740.696;
24/07/2012 05:04;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.410.734;-4.743.172;
24/07/2012 05:04;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-140.914;-4.742.128;
25/07/2012 04:45;NPP-375D;Brasil;GOIAS;ALTO PARAISO DE GOIAS;Cerrado;;;;-1.410.758;-4.747.091;
